year_trimmed_final,donor_trimmed_final,organization_name_trimmed_final,city_trimmed_final,county,state_trimmed_final,dues_paid,president_trimmed_final,delegates_trimmed_final,clubs_sending_greetings_trimmed_final,source_image,notes
1897,,John Brown Loyal Union,St Paul,,MN,$5.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1898,,Sojourner Truth Club,Birmingham,,AL,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,"no description except ""To cash balance brought forward"""
1898,,Phyllis Wheatley Club,Nashville,,TN,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1898,,Rose of New England League,Norwich,,CT,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1898,,10x1=10 Club,Montgomery,,AL,$1.50,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1898,,F E W Harper Club,Pittsburgh,Alleghany,PA,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,"""Pittsburg and Al- Alleghany, Pa"""
1898,,Woman's League,Newport,,RI,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1898,,Woman's Improvement League,Charleston,,WV,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,Willing Workers' Club,Detroit,,MI,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,Phyllis Wheatley Club,Detroit,,MI,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,Woman's Federation,Ann Arbor,,MI,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,Nineteenth Century Club,Grand Rapids,,MI,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,Phyllis Wheatley Club,Paola,,CA,$2.50,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,Woman's Club,Atlanta,,GA,$6.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,10x1=10 Club,Montgomery,,AL,$1.50,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,Woman's Loyal Union,Battle Creek,,MI,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,Woman's Club,Tuskegee,,AL,$6.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,Sojourner Truth Improvement Club,Battle Creek,,MI,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,Minerva Club,Cleveland,,OH,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,Lucy Thurman,W C T U,Columbus,,OH,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,Woman's Mutual Improvement Club,Knoxville,,TN,$6.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,Phyllis Wheatley Club,New Orleans,,LA,$6.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,Federation Club,Chicago,,IL,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,Progressive Circle,Chicago,,IL,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,Woman's Club,Richmond,,VA,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,Self Culture Club,St Louis,,MO,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,Coterie Migratory Association,Memphis,,TN,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,spelling conflicts with previous entry
1899,,Woman's Club,St Louis,,MO,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,I B Wells Club,Chicago,,IL,$6.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,Phyllis Wheatley,,Nashville,,TN,$3.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1899,,Lend-a-Hand Circle,Boston,,MA,$6.00,,,,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,
1901,,Wednesday Afternoon Club,Springfield,,OH,$2.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1901,,Mt Meig's Village Club,,,,$2.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1901,,Ida B Wells Reading Circle,Ottumwa,,IA,$1.60,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Charity Club,Lebanon,,OH,$1.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Thursday Reading Circle,Springfield,,OH,$1.90,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Women's Club,Lake,,MO,$1.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,Mrs Booker T Washington,,,,,$37.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,"""Sub. on notes"""
1902,,Josephine Silone-Yates Club,Georgetown,,TX,$2.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Twentieth Century Club,New Haven,,CT,$3.90,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Woman's Reading Circle,Steubenville,,OH,$1.40,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Ladies Aux. Board of St Andrews Mission,Cleveland,,OH,$1.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Heart's Ease Circle For Kings Daughters,Austin,,TX,$3.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Forest City Woman's Club,Middletown,,CT,$2.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,Mrs Lynch,Ruth Circle,Memphis,,TN,$3.40,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Nineteen Hundred Art Club,Leavenworth,,KS,$2.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Three Times Ten Club,Tuscaloosa,,AL,$3.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Woman's Mite Missionary Circle of St Johns Church,Cleveland,,OH,$2.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Sojourner's Truth Club,Washington,,DC,$1.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Married Ladies' Afternoon Club,Xenia,,OH,$3.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Phyllis Wheatley Club,St Paul,,MN,$1.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,Mrs Booker T Washington,Ladies at Home club,Albany,,GA,$2.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Rose of New England League,Norwich,,CT,$3.50,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Adelphia Club,St Paul,,MN,$2.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Ida B Wells Club,Ottumwa,,IA,$1.80,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Booker T Washington Club,St Paul,,MN,$1.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Phyllis Wheatley Club,Bonham,,TX,$1.10,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Lane Chapel Mother's Club,Washington,,DC,$1.50,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,Mrs J S Yates,Progress Study Club,Leavenworth,,KS,$2.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,Sheldon Kindergarten League,Topeka,,KS,$1.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1902,,,,,,$29.50,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,"""To cash from sale of Historical Records"""
1902,,Helpful Circle of Ironsides,Bordentown,,NJ,$4.80,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1903,,Woman's Mutual Improvement Club,Los Angeles,,CA,$2.80,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1903,,Harriet Beecher Stowe Club,Meridian,,MS,$3.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1903,,The Eurydice Club,Marion,,IN,$1.50,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1903,,New Century Excelsior Club,Norwich,,NY,$2.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1903,Mrs Lucy J McNeal,,West Duluth,,MN,$1.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1903,,Northeatern Federation of Women's Clubs,Providence,,RI,$4.30,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1903,,Silver Leaf Club,Camden,,AR,$1.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1903,,Josephine Silone-Yates Club,Newport,,RI,$5.20,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1903,,Woman's Reading Club,Steubenville,,OH,$1.50,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1903,,St P Ruffin Club,South Bend,,IN,$1.40,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1903,,New Era Club,Philadelphia,,PA,$1.40,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1903,Mrs S Lewis Carson,,Ann Arbor,,MI,$2.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1903,Amanda Smith,Mutual Improvement Club,Pheonix,,AZ,$1.20,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1903,Mrs Mattle V Lee,,Charleston,,WV,$5.00,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1903,Mrs Mary Stratton,,St Albans,,WV,$1.80,,,,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,
1903,Mrs F E Holland,,Chicago,,IL,$2.30,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Home Makers' Club,Institute,,WV,$1.50,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Lucy Thurman Social Culture Club,Pittsburgh,,TX,$1.40,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Rose of New England League,Norwich,,CT,$4.20,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Women's Progressive Club,Alcorn,,MS,$1.20,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Springfield Woman's Club,Springfield,,IL,$3.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Aurora Reading Circle,Pittsburgh,,PA,$4.60,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Celery City Woman's Club,Kalamazoo,,MI,$1.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Woman's Loyal Union,New Bedford,,MA,$4.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Woman's Improvement League,Montgomery,,WV,$1.90,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Silver Leaf Club,Camden,,AR,$2.50,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Progressive Study Club,Leavenworth,,KS,$1.60,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Sorosis Club,Marion,,IN,$1.80,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Adelphian Club,St Paul,,MN,$2.60,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Forest City Woman's Club,Middletown,,CT,$1.10,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,St Louis Woman's Club,St Louis,,MO,$3.40,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Ana Muri-Douglas W C T W 1,Washinton,,DC,$1.90,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,Not sure whether this is an individual person or an organization 
1903,,F E W Harper League,Pittsburgh,,PA,$6.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Phyllis Wheatley Club,St Paul,,MN,$1.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Friday Night Club,Hinton,,WV,$1.20,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Woman's Club,Lake,,MO,$1.40,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,Mrs B T Washington,,,,,$161.80,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Woman's Loyal Union,,,NY,$4.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,Minerva Club,Cleveland,,OH,$3.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1903,,The Ladies Council,Montgomery,,WV,$1.90,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Woman's Club of Jefferson City,Jefferson City,,MO,$6.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,F E W Harper Club,Keokuk,,IA,$1.30,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Colored Woman's Club,Indianapolis,,IN,$2.50,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Sigma Lambda Club,Hannibal,,MO,$1.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Married Ladies' Afternoon Club,Xenia,,OH,$3.50,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,F E W Harper Club,Colorado Springs,,CO,$5.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Ladies' Progressive Club,Salt Lake City,,UT,$2.30,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,P O W Social Club,St Louis,,MO,$1.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Mary Church Terrell Club,St Louis,,MO,$2.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Home Makers' Club,Institute,,WV,$1.90,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Prudence Crandall Club,Washington,,DC,$2.10,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Afro-American Woman's Club,Butte,,MT,$2.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Needle and Art Club,Springfield,,MO,$1.20,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,The Ladies Progressive Club,Paris,,TX,$1.60,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Sunshine Charity Club,St Louis,,MO,$1.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Paul Lawrence Dunbar Club,New Castle,,PA,$2.80,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Tuskegee Women's Club,Tuskegee,,AL,$9.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,W M I Club,Knoxville,,TN,$6.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Friday Afternoon Study Club,Springfield,,OH,$2.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Wilberforce Mother's Club,Wilberforce,,OH,$3.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,St Louis Woman's Club,St Louis,,MO,$4.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Mt Zion Society of Mt Zion Cong'l Church,Cleveland,,OH,$3.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Progressive Study Club,Muncie,,IN,$3.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Woman's Reading Club,Steubenville,,OH,$2.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Holy Trinity Mite Missionary Society,Wilberforce,,OH,$1.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,"Wilberforce University College, Aid Society",,,,$1.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Home Makers' Club,Institute,,WV,$2.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Utopia Club,St Louis,,MO,$3.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Self Culture Club,St Louis,,MO,$4.20,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,J S Yates Progressive Study Club,St Louis,,MO,$1.20,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Y M T L Club,St Louis,,MO,$1.30,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Phyllis Wheatley,Franklin,,PA,$2.30,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Married Ladies' Industrial Club,Hot Springs,,AR,$6.70,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Josephine Silone-Yates Club,Clayton,,MO,$2.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Orphan Home Nursery Club,St Louis,,MO,$1.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Athenian Literary Club,Pueblo,,CO,$1.50,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Excelsior Woman's Club,Pueblo,,CO,$1.50,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Loyal Helpers' Club,St Louis,,MO,$1.10,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Ida B Wells Club,Ottumwa,,IA,$2.80,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,McDinal,,,,WV,$1.30,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,not sure whether this is an organization or a person 
1904,,Dalalia Art Club,Colorado Springs,,CO,$1.20,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,The Ladies Council,Montgomery,,WV,$2.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Woman's Improvement League,Montgomery,,AL,$2.00,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
1904,,Forest City Club,Middletown,,CT,$1.30,,,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,
