source,source,variables,page number,screenshot,sheet reference
,"A History of the Club Movement Among the Colored Women of the United States of America, as contained in the Minutes of the Conventions, held in Boston, July 29, 30, 31, 1895, and of the National Federation of Afro-American Women, held in Washington, D.C., July 20, 21, 22, 1896",Treasurer's Report: Reciepts ,58-61,https://drive.google.com/open?id=1SroCo9enBovQ2FwRhv4hlezc5B_qqcOJ,
,"A History of the Club Movement Among the Colored Women of the United States of America, as contained in the Minutes of the Conventions, held in Boston, July 29, 30, 31, 1895, and of the National Federation of Afro-American Women, held in Washington, D.C., July 20, 21, 22, 1896",,,https://drive.google.com/open?id=1SroCo9enBovQ2FwRhv4hlezc5B_qqcOJ,
,"A History of the Club Movement Among the Colored Women of the United States of America, as contained in the Minutes of the Conventions, held in Boston, July 29, 30, 31, 1895, and of the National Federation of Afro-American Women, held in Washington, D.C., July 20, 21, 22, 1896",Articles of Agreement ,44-45,https://drive.google.com/open?id=12i11zprxj8iafiWHZes0y1jICMLqMrfX,
,"A History of the Club Movement Among the Colored Women of the United States of America, as contained in the Minutes of the Conventions, held in Boston, July 29, 30, 31, 1895, and of the National Federation of Afro-American Women, held in Washington, D.C., July 20, 21, 22, 1896",Constitution ,35-36,https://drive.google.com/open?id=1bBaidBr85MhjMUKK9SaOQzhCc8yfhxiH,
,"A History of the Club Movement Among the Colored Women of the United States of America, as contained in the Minutes of the Conventions, held in Boston, July 29, 30, 31, 1895, and of the National Federation of Afro-American Women, held in Washington, D.C., July 20, 21, 22, 1896",,,https://drive.google.com/open?id=1uCqvJJ3rqrCZFhVx_8kUDiGK5pw-NIGI,
,"NACW Convention Minutes and Reports, 1897, Nashville, Tennessee",NACW Officers 1897,2,https://drive.google.com/open?id=1UlFXUOyHCUu9_gBryttGbHXkO-sOZk87,Officers
,"NACW Convention Reports, 1897, Nashville, Tennessee; and 1899, Chicago, Illinois [from Mary Church Terrell papers, Library of Congress]","Types of meetings, commitees, chairwomen - nashville",28-30,https://drive.google.com/open?id=1KxlLvgF_mJrbYfJ13GsBUMdUfGmpseLO,
,"NACW Convention Reports, 1897, Nashville, Tennessee; and 1899, Chicago, Illinois [from Mary Church Terrell papers, Library of Congress]",,,https://drive.google.com/open?id=1tYw7wfyCs3HE2EcScXoVFb0LeI-FNsNQ,
,"NACW Convention Reports, 1897, Nashville, Tennessee; and 1899, Chicago, Illinois [from Mary Church Terrell papers, Library of Congress]",,,https://drive.google.com/open?id=1jh8p0cQdvcpQgSSCTYPOjtClek5BIWFI,
,"NACW Convention Reports, 1897, Nashville, Tennessee; and 1899, Chicago, Illinois [from Mary Church Terrell papers, Library of Congress]",Types of commitees - chicago ,82-85,https://drive.google.com/open?id=1mL8Q4Lic7o4KiuzaxUJgbgdNNWPnSB-F,
,"NACW Convention Reports, 1897, Nashville, Tennessee; and 1899, Chicago, Illinois [from Mary Church Terrell papers, Library of Congress]",,,https://drive.google.com/open?id=1-04tmsBBBBIRGHH1SrWW8K-1joNdHjBz,
,"NACW Convention Reports, 1897, Nashville, Tennessee; and 1899, Chicago, Illinois [from Mary Church Terrell papers, Library of Congress]",,,https://drive.google.com/open?id=1-2ULiH8ahcU9z7Im2XZ-ZlrMiYRz6v1p,
,"NACW Convention Reports, 1897, Nashville, Tennessee; and 1899, Chicago, Illinois [from Mary Church Terrell papers, Library of Congress]",,,https://drive.google.com/open?id=1QkPXdSl_Z1HGiBXVKz7GQNUk3AHZiyCW,
,"NACW Convention Minutes, 1897, including the appointment of national organizer, WCTU antilynching position, convict leasing, and NACW relations with WCTU",Articles of Consitution ,8-11,https://drive.google.com/open?id=1m9i4oLY3HGcUD737x-hClF1F3xkfUK7O,
,"NACW Convention Minutes, 1897, including the appointment of national organizer, WCTU antilynching position, convict leasing, and NACW relations with WCTU",,,https://drive.google.com/open?id=1Fler6QCKHtpixuk5WH_vO_RfG4_lA8fi,
,"NACW Convention Minutes, 1901, including the NACW relations with NCW, WCTU, and National Congress of Mothers, the NACW Financial Report from 1896 to 1901, child day care, and temperance",Officers of NACW 1901-1903 and Elections,8-9,https://drive.google.com/open?id=1XY8GYK24y02NEFC3PD6acRdMGxyBqrUs,officers
,"NACW Convention Minutes, 1901, including the NACW relations with NCW, WCTU, and National Congress of Mothers, the NACW Financial Report from 1896 to 1901, child day care, and temperance",,,https://drive.google.com/open?id=1ffm0c7nlMiH4mXrH9YyOAANlTiEHeKLt,
,"NACW Convention Minutes, 1901, including the NACW relations with NCW, WCTU, and National Congress of Mothers, the NACW Financial Report from 1896 to 1901, child day care, and temperance","RULES FOR ORDER OF BUSINESS ADOPTED BY NACW, AT BUFFALO, 1901",10-11,https://drive.google.com/open?id=1CdeQLh6dLLWN0iuroZEL19TWDvC7maNP,
,"NACW Convention Minutes, 1901, including the NACW relations with NCW, WCTU, and National Congress of Mothers, the NACW Financial Report from 1896 to 1901, child day care, and temperance",,,https://drive.google.com/open?id=1D6rJ3BbBsnf-k1vq4L68GnFGPQfjn0vZ,
,"NACW Convention Minutes, 1901, including the NACW relations with NCW, WCTU, and National Congress of Mothers, the NACW Financial Report from 1896 to 1901, child day care, and temperance",Financial Report of the NACW for the Years 1896-1901.,12-16,https://drive.google.com/open?id=1CHE3mB9Y6FiQhb2g-a78c4uhUZ_LtcnI,organizations
,"NACW Convention Minutes, 1901, including the NACW relations with NCW, WCTU, and National Congress of Mothers, the NACW Financial Report from 1896 to 1901, child day care, and temperance",,,https://drive.google.com/open?id=1xXwqcMEmAY6WXPBL9WYNkkK9kRdJ7IXK,organizations
,"NACW Convention Minutes, 1901, including the NACW relations with NCW, WCTU, and National Congress of Mothers, the NACW Financial Report from 1896 to 1901, child day care, and temperance",,,https://drive.google.com/open?id=1GF-OKd72MX_7E9X06NbC_kG5DTmqzu__,organizations
,"NACW Convention Minutes, 1901, including the NACW relations with NCW, WCTU, and National Congress of Mothers, the NACW Financial Report from 1896 to 1901, child day care, and temperance",,,https://drive.google.com/open?id=135ru3Uasu5unZaXL0ZmeDUgx_AMwS_dS,organizations 
,"NACW Convention Minutes, 1901, including the NACW relations with NCW, WCTU, and National Congress of Mothers, the NACW Financial Report from 1896 to 1901, child day care, and temperance",,,https://drive.google.com/open?id=13Kn5-jfQQ-bkZfJ5v1wVmPYtQOu0eEdX,organizations 
,"NACW Convention Minutes, 1904, including the NACW organization statistics and NACW relations with WCTU, mission work, racial discrimination by World's Fair (St. Louis), temperance, antilynching resolutions, segregation on common carriers, and Republican party platform plank against black disfranchisement",repressentation and membership ,19,https://drive.google.com/open?id=1pyVGEftmMG-ktST02p-YHv2zHw09HPd7,
,"NACW Convention Minutes, 1904, including the NACW organization statistics and NACW relations with WCTU, mission work, racial discrimination by World's Fair (St. Louis), temperance, antilynching resolutions, segregation on common carriers, and Republican party platform plank against black disfranchisement",Financial Report ,19-22,https://drive.google.com/open?id=1SsV1aoeiB19qlzx-imX5E8CupCe3U4xw,organizations
,"NACW Convention Minutes, 1904, including the NACW organization statistics and NACW relations with WCTU, mission work, racial discrimination by World's Fair (St. Louis), temperance, antilynching resolutions, segregation on common carriers, and Republican party platform plank against black disfranchisement",,,https://drive.google.com/open?id=16ZNj3wIxk9ISXGP5T9v7EUIpxEvWZjNq,organizations
,"NACW Convention Minutes, 1904, including the NACW organization statistics and NACW relations with WCTU, mission work, racial discrimination by World's Fair (St. Louis), temperance, antilynching resolutions, segregation on common carriers, and Republican party platform plank against black disfranchisement",,,https://drive.google.com/open?id=1rYKJervySmCr2LRLb8WG4r-spFT6LI_t,organizations
,"NACW Convention Minutes, 1904, including the NACW organization statistics and NACW relations with WCTU, mission work, racial discrimination by World's Fair (St. Louis), temperance, antilynching resolutions, segregation on common carriers, and Republican party platform plank against black disfranchisement",,,https://drive.google.com/open?id=14FK_vDe1hCvtcOJ0lgMn1p7C996DDJq-,organizations
,"NACW Convention Minutes, 1904, including the NACW organization statistics and NACW relations with WCTU, mission work, racial discrimination by World's Fair (St. Louis), temperance, antilynching resolutions, segregation on common carriers, and Republican party platform plank against black disfranchisement",,,https://drive.google.com/open?id=1z4fhUYMndhRezoHH9Bc3nw5iGw0VGDv6,
,"NACW Convention Minutes, 1904, including the NACW organization statistics and NACW relations with WCTU, mission work, racial discrimination by World's Fair (St. Louis), temperance, antilynching resolutions, segregation on common carriers, and Republican party platform plank against black disfranchisement",,,https://drive.google.com/open?id=1jUIWob4RnPrvnJ90yfnKrfvR0ENcAU1b,organizations 
,"NACW Convention Minutes, 1904, including the NACW organization statistics and NACW relations with WCTU, mission work, racial discrimination by World's Fair (St. Louis), temperance, antilynching resolutions, segregation on common carriers, and Republican party platform plank against black disfranchisement",,,https://drive.google.com/open?id=1rLSoE3Oz0n8__5bfHLguiNvn_trBfBgQ,
,"NACW Convention Minutes, 1906, including home visitation work, eleemosynary institutions, travelers' aid in cities for working women from the South, NACW relations with YWCA, finances, and NACW interest in Africa and Belgian atrocities in the Congo",officers 1904-1906,5,https://drive.google.com/open?id=18aoS5cvXGn_OAotl0G8glE0Klkz8BU7v,Officers
,"NACW Convention Minutes, 1906, including home visitation work, eleemosynary institutions, travelers' aid in cities for working women from the South, NACW relations with YWCA, finances, and NACW interest in Africa and Belgian atrocities in the Congo",officers 1906-1908 ,16,https://drive.google.com/open?id=183wQK7IsN5HKxx4uSuY5XUEbeQrAckT7,
,"NACW Convention Minutes, 1906, including home visitation work, eleemosynary institutions, travelers' aid in cities for working women from the South, NACW relations with YWCA, finances, and NACW interest in Africa and Belgian atrocities in the Congo",financial report NACW 1904-1906,18-20,https://drive.google.com/open?id=13cKAmmX5LN8TrKhu9p4GUqpvx_VB-Oz8,organizations 
,"NACW Convention Minutes, 1906, including home visitation work, eleemosynary institutions, travelers' aid in cities for working women from the South, NACW relations with YWCA, finances, and NACW interest in Africa and Belgian atrocities in the Congo",,,https://drive.google.com/open?id=1YrjZ3d4uxzbJTDBqy_JJOyN2gxUvtwgT,organizations 
,"NACW Convention Minutes, 1906, including home visitation work, eleemosynary institutions, travelers' aid in cities for working women from the South, NACW relations with YWCA, finances, and NACW interest in Africa and Belgian atrocities in the Congo",,,https://drive.google.com/open?id=19tMvQhnp1hVMGoIR3BUNrXucoqqDIcOb,organizations 
,"NACW Convention Directory, 1906",national officers ,3,https://drive.google.com/open?id=11UUX91-De_mSNieHcUxagfzCpE5XC5Zs,
,"NACW Convention Directory, 1906",local committees,4,https://drive.google.com/open?id=1A9gw8kvHSDwCBgzqrGtJG4PC8gTYECIi,
,"NACW Convention Minutes, 1908, including the NACW network with New York settlement movement, domestic training, burial clubs, female industrial placement, thrift and morality and racial attitudes of domestics, NACW housing for female industrial workers, tuberculosis, child labor, temperance, antilynching, and ""rescue"" work among youth",officers 1906-08,5,https://drive.google.com/open?id=1PXAivs96yOLYFVPfZSdvuRW37H_JSTWb,
,"NACW Convention Minutes, 1908, including the NACW network with New York settlement movement, domestic training, burial clubs, female industrial placement, thrift and morality and racial attitudes of domestics, NACW housing for female industrial workers, tuberculosis, child labor, temperance, antilynching, and ""rescue"" work among youth",departments of NACW,8,https://drive.google.com/open?id=1A7ctyvKJpjupT-s_nNCZUYyXb4lJEKiF,
,"NACW Convention Minutes, 1908, including the NACW network with New York settlement movement, domestic training, burial clubs, female industrial placement, thrift and morality and racial attitudes of domestics, NACW housing for female industrial workers, tuberculosis, child labor, temperance, antilynching, and ""rescue"" work among youth",election of officers ,16-17,https://drive.google.com/open?id=1MsKANouOAZcMNuIWEOEi210p3gAtgEeJ,Officers
,"NACW Convention Minutes, 1908, including the NACW network with New York settlement movement, domestic training, burial clubs, female industrial placement, thrift and morality and racial attitudes of domestics, NACW housing for female industrial workers, tuberculosis, child labor, temperance, antilynching, and ""rescue"" work among youth",,,https://drive.google.com/open?id=1cSkJCWBnZvnMSNsf5UNKPQ5YkK1mkx51,Officers
,"NACW Convention Minutes, 1908, including the NACW network with New York settlement movement, domestic training, burial clubs, female industrial placement, thrift and morality and racial attitudes of domestics, NACW housing for female industrial workers, tuberculosis, child labor, temperance, antilynching, and ""rescue"" work among youth",In Loving Memory of ,18,https://drive.google.com/open?id=1H4uYYZpBXD4xu0euA6262ee7fQHv0JOF,
,"NACW Convention Minutes, 1908, including the NACW network with New York settlement movement, domestic training, burial clubs, female industrial placement, thrift and morality and racial attitudes of domestics, NACW housing for female industrial workers, tuberculosis, child labor, temperance, antilynching, and ""rescue"" work among youth",resolutions,19,https://drive.google.com/open?id=1vQjNcStpWNs3oRhPLYIz6j1W35u-z-GQ,
,"NACW Convention Minutes, 1908, including the NACW network with New York settlement movement, domestic training, burial clubs, female industrial placement, thrift and morality and racial attitudes of domestics, NACW housing for female industrial workers, tuberculosis, child labor, temperance, antilynching, and ""rescue"" work among youth",financial report,23-26 ,https://drive.google.com/open?id=1DzXZ8xshTq4Am7sCPBKbs1zDKUpiCgvY,organizations 
,"NACW Convention Minutes, 1908, including the NACW network with New York settlement movement, domestic training, burial clubs, female industrial placement, thrift and morality and racial attitudes of domestics, NACW housing for female industrial workers, tuberculosis, child labor, temperance, antilynching, and ""rescue"" work among youth",,,https://drive.google.com/open?id=18EVZDHgU3osicxPcYvLgEdrTB_FXemLc,organizations 
,"NACW Convention Minutes, 1908, including the NACW network with New York settlement movement, domestic training, burial clubs, female industrial placement, thrift and morality and racial attitudes of domestics, NACW housing for female industrial workers, tuberculosis, child labor, temperance, antilynching, and ""rescue"" work among youth",,,https://drive.google.com/open?id=13iPdxtVBOm3Fcyp4daiIMPxMum31fY3D,organizations 
,"NACW Convention Minutes, 1908, including the NACW network with New York settlement movement, domestic training, burial clubs, female industrial placement, thrift and morality and racial attitudes of domestics, NACW housing for female industrial workers, tuberculosis, child labor, temperance, antilynching, and ""rescue"" work among youth",,,https://drive.google.com/open?id=1k9qLwE2p4svm2H4IwTDC-gybSuo4BoDr,
,"NACW Convention Minutes, 1908, including the NACW network with New York settlement movement, domestic training, burial clubs, female industrial placement, thrift and morality and racial attitudes of domestics, NACW housing for female industrial workers, tuberculosis, child labor, temperance, antilynching, and ""rescue"" work among youth",report of ways and means committee ,27,https://drive.google.com/open?id=1906c_JuK6FcrzLdjsjgpbIAYoAl2Lcck,organizations 
,"National Association Notes [newsletter of the NACWC], covering NCW and NACW activities in Arkansas, Alabama, Florida, Oklahoma, South Carolina, and Texas",national officers,4,https://drive.google.com/open?id=1geY3FmZC_p6j_tNIoMh-H97SAp4vk2Vy,officers
,"National Association Notes [newsletter of the NACWC], covering NCW and NACW activities in Arkansas, Alabama, Florida, Oklahoma, South Carolina, and Texas",rosters of departments and state officers,6,https://drive.google.com/open?id=10d_m7GZ-negjFRXk8-RvRTFCd38Yx3GX,officers
,"National Association Notes [newsletter of the NACWC], covering NCW and NACW activities in Arkansas, Alabama, Florida, Oklahoma, South Carolina, and Texas",,7,https://drive.google.com/open?id=1L3jh6XpJ7g2nm3B_UH-DpVtOpCri8xA6,officers
,"National Association Notes [newsletter of the NACWC], covering NCW and NACW activities in Arkansas, Alabama, Florida, Oklahoma, South Carolina, and Texas",,8,https://drive.google.com/open?id=18BDJu9DLZZtfCuyMaNs9F1LarLzziww4,officers 
,"National Association Notes [newsletter of the NACWC], covering NCW and NACW activities in Arkansas, Alabama, Florida, Oklahoma, South Carolina, and Texas",departments and officers,14,https://drive.google.com/open?id=1aavydNOYm2K_YWfDBF5-aZWJy5TdPhcm,
,"National Association Notes [newsletter of the NACWC], covering NCW and NACW activities in Arkansas, Alabama, Florida, Oklahoma, South Carolina, and Texas",,15,https://drive.google.com/open?id=1i1NhT8TRTXPbNcoSd8TcPUr106PAuRax,
,"National Association Notes [newsletter of the NACWC], covering NCW and NACW activities in Arkansas, Alabama, Florida, Oklahoma, South Carolina, and Texas",,16,https://drive.google.com/open?id=19hOTzTImFGRGj9SKwIF1zFkrla9URlMR,officers 
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",officers 1910-1912,5,https://drive.google.com/open?id=11IyvuVc6AsQHGrDw1Ho42L4O9hIk5BS2,
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",committees,10,https://drive.google.com/open?id=10BzwNEdV9VPXMdECsBi7oZ3nGsePCEcE,
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",report of national organizer ,11,https://drive.google.com/open?id=1qJr0L0mDpejdvGkIDF-b7QBVjVTQmspM,
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",organizations by states ,16,https://drive.google.com/open?id=1ulkse5aTdZOZIS9E8JEL3uii4RMjHwFI,organizations 
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",,17,https://drive.google.com/open?id=1V0sWkd5rM1APbyizGUsQxwGEH7BPmD_f,organizations 
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",,18,https://drive.google.com/open?id=1BL552AXoc18M0M4BETI7c0OPQVhze17K,organizations 
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",,19,https://drive.google.com/open?id=1ODDLnjM9xqBwVm1zqRGPC6K4FBLQxKMB,organizations 
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",,20,https://drive.google.com/open?id=1v_dSFc7Ww6tBZ-otoBj_EaZRvtH2pE7K,organizations 
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",organizations by state continued ,25,https://drive.google.com/open?id=1wXAAXAEOYqdJgmNpgiQo2ZKVVd3mpNJn,organizations 
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",organizations by state continued ,28,https://drive.google.com/open?id=1cjLGR0DEkR4BvB7qhRfOKC35BkJL_vkj,organizations 
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",report of ways and means committee ,32,https://drive.google.com/open?id=16RRnTjLPO6XfMXfOrHp1MF-rRxYORiN7,organizations 
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",heads of departments ,34,https://drive.google.com/open?id=1PlX6R7YB9h6Z2NXF5dj8wr1R2yhB0UFp,organizations 
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",bills submitted,37,https://drive.google.com/open?id=1FjvBaIGDJ6WG1L82nAIESALyDE22o0oo,
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",,38,https://drive.google.com/open?id=15vE2lM_cuf-pEwSK8RMTvDkL5g5rL7GB,
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",financial report ,39,https://drive.google.com/open?id=1mTzGeU39AejfjsOPdD_OQZvSXlAm-Q0H,organizations 
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",,40,https://drive.google.com/open?id=1WYWGLifUsphIGeLyZ-vjLrIppAjIEX6P,organizations 
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",,41,https://drive.google.com/open?id=15ZCg8k5NDp4cbq_MXHc0jJlh79PMbH4_,organizations 
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",,42,https://drive.google.com/open?id=10bsXWxohsyrrGdiAScMYQ8l2ww4Oxq2P,organizations 
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",,43,https://drive.google.com/open?id=1E9-CavM_x6ZbL5Gh-cIq9c8waJFMkVR2,organizations 
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",,44,https://drive.google.com/open?id=1Ri_MDLRyrpNvRz9ADUzEp1937sk8FqKz,organizations 
,"NACW Convention Minutes, 1912, including the spread of segregation in northern and western states branches of YWCA, NACW protest of execution of seventeen-year-old Christian in Virginia, domestic service training, antilynching, segregation in common carriers, destruction of colored orphanage in Lexington, Kentucky, woman suffrage advocated, antisegregation resolution, prostitution, and National League on Urban Conditions",,45,https://drive.google.com/open?id=1NSzeiazIic-pwcnwa6l96xEhbueaMn7X,organizations 
